cbo_name,parent_organization,activity_type,activity_type_other,date_of_activity,activity_end_date,advertising_end_date,total_number_of_alert_sign_ups,total_people_spoken_to,City,address,description,total_number_of_houses,how_assisted,total_number_assisted,event_name,audience_details,education_grade,activity_total_material_dist,activity_collateral_dtls,activity_social_media_chan,total_number_nudgedalerted,total_number_of_calls,total_number_of_pledge_cards,total_number_of_impressions,impression_data_accuracy_confid,total_htc_of_impressions,htc_data_accuracy_confidence,HTC,immigrants_refugees,children_ages_0_5,limited_english_proficient_indi,htc_breakdown_data_confidence,Language,lang_arabic,lang_armenian,lang_assyrian_neo_aramaic,lang_cantonese,lang_chaldean_neo_aramaic,lang_chinese,lang_farsi,lang_filipino,lang_hindi,lang_hmong,lang_iu_mien,lang_japanese,lang_khmer,lang_korean,lang_mandarin,lang_min_nan_chinese,lang_portuguese,lang_punjabi,lang_russian,lang_spanish,lang_tagalog,lang_telugu,lang_thai,lang_ukrainian,lang_vietnamese,lang_other_info,lang_breakdown_data_confidence,funding_state_allocated,funding_county_direct,funding_acbo_direct,funding_foundation,funding_private,funding_volunteer_hours,qac_total_had_info_no_census,qac_total_completed_pc,qac_total_completed_phone,qac_total_completed_uscb_phone
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/11/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,2000,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,Chinese Baptist Church of Orange County Seekers Class Group,3/26/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,46,high,100,very_high,,,,,very_high,chinese,,,,,,46,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,Chinese Baptist Church of Orange County Joy Sisters Group,3/26/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,63,high,100,very_high,,,,,very_high,chinese,,,,,,63,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,Chinese Baptiest Church of Orange County New Song Small Group,3/27/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,27,very_high,100,very_high,,,,,very_high,chinese,,,,,,20,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,Irvine Chinese Support Alliance,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,490,medium,100,very_high,,,,,very_high,chinese,,,,,,490,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,OCHC HYE PTA,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,170,high,100,very_high,,,,,very_high,chinese,,,,,,170,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,Saddleback Church Chinese Fellowship,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,423,medium,100,very_high,,,,,very_high,chinese,,,,,,423,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,House of Grace Wechat,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,343,medium,100,very_high,,,,,very_high,chinese,,,,,,343,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,IUSD Chinese PTA,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,499,medium,100,very_high,,,,,very_high,chinese,,,,,,499,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,CA Chinese Daily Circle,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,408,medium,100,very_high,,,,,very_high,chinese,,,,,,408,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/6/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,1771 w. katella ave anaheim 92804,,,,,,,,,,,,,,100,exact,100,high,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,SBC Open Door Study,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,173,high,100,very_high,,,,,very_high,chinese,,,,,,173,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,CCEC Caring Group,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,97,high,100,very_high,,,,,very_high,chinese,,,,,,97,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/17/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,WHS Chinese PTA,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,239,medium,100,very_high,,,,,very_high,chinese,,,,,,239,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,Friends of OCHC,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,66,high,100,very_high,,,,,very_high,chinese,,,,,,66,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,1001 e. lincoln ave. orange 92865,,,,,,,,,,,,,,5500,exact,100,high,,,,,low,spanish,,,,,,,,,,,,,,,,,,,,5500,,,,,,,high,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,2020 Spring YIA PTA,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,45,high,100,very_high,,,,,very_high,chinese,,,,,,45,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,Mariners Church,4/15/2020,,,,,,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,379,,100,medium,,,,,high,chinese,,,,,,379,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,2020 Spring YIA PTA,4/15/2020,,,,,,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,45,,100,very_high,,,,,very_high,chinese,,,,,,45,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,CAAOC (Chinese American Association of Orange County) group #1,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,496,medium,100,very_high,,,,,very_high,chinese,,,,,,496,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
KCS,Charitable Ventures,speaking_engagement,,3/8/2020,,,,,,"412 n crescent way anaheim, ca 92801",,,,,"8 AM, 9:45 AM, & 11:30 AM Mass",Korean Catholic congregation,,975,,,,,,975,exact,100,exact,"immigrants_refugees, limited_english_proficient_indi",975,,400,high,korean,,,,,,,,,,,,,,975,,,,,,,,,,,,,exact,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,Agape Fellowship,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,74,high,100,very_high,,,,,very_high,chinese,,,,,,74,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,Mariners Church,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,379,medium,100,very_high,,,,,very_high,chinese,,,,,,379,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,Good Sister Parenting group,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,115,high,100,very_high,,,,,very_high,chinese,,,,,,115,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,"150 e. 1st ave la habra, 90631",,,,,,,,,,,,,,100,exact,100,high,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,Chinese Baptiest Church of Orange County Song of Songs Small Group,4/1/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,26,high,100,very_high,,,,,very_high,chinese,,,,,,26,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,advertising,Census 2020 Facebook post,3/6/2020,,,,,,"309 n. rampart street, orange, 92868",,,,,,,,,,,,,,402,high,80,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,2311 e. chapman ave fullerton 92831,,,,,,,,,,,,,,100,exact,100,high,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,Irvine Chinese Support Alliance,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,490,medium,100,high,,,,,high,chinese,,,,,,490,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,SBC Open Door Study,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,173,medium,100,high,,,,,high,chinese,,,,,,173,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,2020 Spring YIA PTA,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,45,very_high,100,very_high,,,,,very_high,chinese,,,,,,45,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,House of Grace Wechat,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,343,medium,100,high,,,,,high,chinese,,,,,,343,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,6/23/2020,,,,,,"631 s brookhurst st #107, anaheim 92804",,,,,,,,,,,,,,110,EXACT,100,high,children_ages_0_5,,110,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,nudgealert,email,4/1/2020,,,,,,"11870 monarch st, garden grove 92841",,,,,,,,,,,,,,123,exact,100,high,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,Saddleback Church Chinese Fellowship,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,423,medium,100,high,,,,,high,chinese,,,,,,423,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,OCHC HYE PTA,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,170,high,100,high,,,,,high,chinese,,,,,,170,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,WHS Chinese PTA,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,239,medium,100,high,,,,,high,chinese,,,,,,239,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,22600 lambert st #1006 lake forest 92630,,,,,,,,,,,,,,100,exact,100,high,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,Mariners Church,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,379,medium,100,high,,,,,high,chinese,,,,,,379,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,CA Chinese Daily Circle,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,408,medium,100,high,,,,,high,chinese,,,,,,408,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,18700 harvard ave irvine 92612,,,,,,,,,,,,,,100,exact,100,high,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Southland Integrated Services, Inc.",Charitable Ventures,phone_banking,,4/6/2020,4/13/2020,,,,,orange,Phone Banking encourage complete of census and important dates,,,,,,,,,,,,,2500,,80,medium,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",60,5,65,medium,"chinese, spanish, vietnamese",,,,,,5,,,,,,,,,,,,,,45,,,,,20,,medium,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,Agape Fellowship,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,74,high,100,high,,,,,high,chinese,,,,,,74,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,Friends of OCHC,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,66,very_high,100,high,,,,,high,chinese,,,,,,66,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,IUSD Chinese PTA,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,499,medium,100,high,,,,,high,chinese,,,,,,499,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,Josephine Huang- principal of?·EFCI Evergreen Senior College,4/7/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,400,high,100,very_high,,,,,very_high,chinese,,,,,,400,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,Herald Monthly  - Master List,4/10/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,750,medium,100,high,,,,,high,chinese,,,,,,750,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,4/13/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,39,exact,100,exact,children_ages_0_5,,39,,very_high,spanish,,,,,,,,,,,,,,,,,,,,12,,,,,,,very_high,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/14/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
OCAPICA,Charitable Ventures,social_media,social media,7/10/2020,,,,,,"12912 brookhurst st, garden grove 92840",,,,,,,,,,,,,,6369,high,80,medium,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,4/20/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,35,exact,100,exact,children_ages_0_5,,35,,very_high,spanish,,,,,,,,,,,,,,,,,,,,11,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,4/27/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,32,exact,100,exact,children_ages_0_5,,32,,very_high,spanish,,,,,,,,,,,,,,,,,,,,10,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,5/4/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,31,exact,100,exact,children_ages_0_5,,31,,very_high,spanish,,,,,,,,,,,,,,,,,,,,10,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,5/11/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,54,exact,100,exact,children_ages_0_5,,54,,very_high,spanish,,,,,,,,,,,,,,,,,,,,17,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,5/18/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,43,exact,100,exact,children_ages_0_5,,43,,very_high,spanish,,,,,,,,,,,,,,,,,,,,13,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,5/25/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,38,exact,100,exact,children_ages_0_5,,38,,very_high,spanish,,,,,,,,,,,,,,,,,,,,13,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,6/1/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,39,exact,100,exact,children_ages_0_5,,39,,very_high,spanish,,,,,,,,,,,,,,,,,,,,12,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,6/8/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,55,exact,100,exact,children_ages_0_5,,55,,very_high,spanish,,,,,,,,,,,,,,,,,,,,17,,,,,,,very_high,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,8/26/2020,,,,,,"10841 garza ave, anaheim 92804",,,,,,,,,,,,,,179,exact,100,high,children_ages_0_5,,179,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,6/15/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,42,exact,100,exact,children_ages_0_5,,42,,very_high,spanish,,,,,,,,,,,,,,,,,,,,13,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,6/22/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,48,exact,100,exact,children_ages_0_5,,48,,very_high,spanish,,,,,,,,,,,,,,,,,,,,15,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,6/29/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,50,exact,100,exact,children_ages_0_5,,50,,very_high,spanish,,,,,,,,,,,,,,,,,,,,14,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,7/6/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,48,exact,100,exact,children_ages_0_5,,48,,very_high,spanish,,,,,,,,,,,,,,,,,,,,15,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,7/13/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,37,exact,100,exact,children_ages_0_5,,37,,very_high,spanish,,,,,,,,,,,,,,,,,,,,12,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,7/20/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,44,exact,100,exact,children_ages_0_5,,44,,very_high,spanish,,,,,,,,,,,,,,,,,,,,14,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,7/27/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,57,exact,100,exact,children_ages_0_5,,57,,very_high,spanish,,,,,,,,,,,,,,,,,,,,18,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,4/6/2020,,,,,Orange,"1120 w. la veta ave., orange 928868",,,,,,,,,,,,,,39,exact,100,exact,children_ages_0_5,,39,,very_high,spanish,,,,,,,,,,,,,,,,,,,,12,,,,,,,very_high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver of the importance of census through the drive-thru food drive.,3/19/2020,,,,,Orange,"309 n rampart st, orange 92868",,,,,,,,,,,,,,395,exact,100,very_high,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver of the importance of census through the drive-thru food drive.,3/23/2020,,,,,Orange,"309 n rampart st, orange 92868",,,,,,,,,,,,,,518,exact,100,very_high,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver of the importance of census through the drive-thru food drive.,3/26/2020,,,,,Orange,"309 n rampart st, orange 92868",,,,,,,,,,,,,,426,exact,100,very_high,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver of the importance of census through the drive-thru food drive.,3/30/2020,,,,,Orange,"309 n rampart st, orange 92868",,,,,,,,,,,,,,414,exact,100,very_high,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver of the importance of census through the drive-thru food drive.,4/7/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,1023,very_high,95,very_high,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,7/14/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,400,high,95,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,7/21/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,550,high,95,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,7/28/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,550,high,95,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,8/4/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,550,high,95,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,8/11/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,550,high,95,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,9/8/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,550,high,95,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,9/15/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,550,high,95,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,9/22/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,550,high,95,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,9/29/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,550,high,95,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,10/6/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,550,high,95,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,6/23/2020,,,,,Orange,"309 n rampart, orange 92868",,,,,,,,,,,,,,481,high,95,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/15/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1800,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,7/7/2020,,,,,Orange,"309 n rampart, orange 92868",,,,,,,,,,,,,,410,high,95,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
The LGBTQ Center OC,Charitable Ventures,flyers,Outreach event,3/7/2020,3/7/2020,,,25,,"1450 17th st, santa ana 92705",Bree Terronez attended the Legacy Resource Fair and there distributed census flyers to individuals we interacted with,,,25,Legacy Resource Fair,,,25,General Census Flyersa,,,,,25,high,75,medium,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,EDD assistance and reminding individuals to filled out the Census.,6/2/2020,6/8/2020,,,,Orange,"309 n rampart, orange, 92848",,,,,,,,,,,,,,36,very_high,80,very_high,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/5/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/4/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
