,cbo_name,parent_organization,activity_type,activity_type_other,date_of_activity,activity_end_date,advertising_end_date,total_number_of_alert_sign_ups,total_people_spoken_to,City,address,description,total_number_of_houses,how_assisted,total_number_assisted,event_name,audience_details,education_grade,activity_total_material_dist,activity_collateral_dtls,activity_social_media_chan,total_number_nudgedalerted,total_number_of_calls,total_number_of_pledge_cards,total_number_of_impressions,impression_data_accuracy_confid,total_htc_of_impressions,htc_data_accuracy_confidence,immigrants_refugees,middle_eastern_and_north_africa,homeless_individuals_and_famili,farmworkers,veterans,latinos,asian_americans_pacific_islande,african_americans,native_americans_tribal_communi,children_ages_0_5,lesbian_gay_bisexual_transgende,limited_english_proficient_indi,people_with_disabilities,seniorsolder_adults,low_broadband_subscription_rate,htc_breakdown_data_confidence,lang_arabic,lang_armenian,lang_assyrian_neo_aramaic,lang_cantonese,lang_chaldean_neo_aramaic,lang_chinese,lang_farsi,lang_filipino,lang_hindi,lang_hmong,lang_iu_mien,lang_japanese,lang_khmer,lang_korean,lang_mandarin,lang_min_nan_chinese,lang_portuguese,lang_punjabi,lang_russian,lang_spanish,lang_tagalog,lang_telugu,lang_thai,lang_ukrainian,lang_vietnamese,lang_other_info,lang_breakdown_data_confidence,funding_state_allocated,funding_county_direct,funding_acbo_direct,funding_foundation,funding_private,funding_volunteer_hours,qac_total_had_info_no_census,qac_total_completed_pc,qac_total_completed_phone,qac_total_completed_uscb_phone,city_match
805,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,6/27/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
806,CAP OC,Charitable Ventures,collateral,,6/18/2020,,,,,,"321 e chapman ave, fullerton 92832",,,,,,,,,,,,,,210,exact,100.0,high,,,,,,,,,,210.0,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fullerton
807,OCAPICA,Charitable Ventures,collateral,,9/18/2020,,,,,,"850 n birch st, santa ana 92701",,,,,,,,,,,,,,7500,high,100.0,medium,7500.0,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santa Ana
808,CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,940 w wilshire ave santa ana 92707,,,,,,,,,,,,,,100,exact,100.0,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santa Ana
809,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,4/7/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Santa Ana
810,AASCSC,Charitable Ventures,nudgealert,,4/1/2020,,,,,Santa Ana,850 n. birch street santa ana 92701,,,,,,,,,,,,,,1000,very_high,100.0,very_high,700.0,,,,,,900.0,,,,,600.0,50.0,500.0,100.0,very_high,,,,,,900.0,,,,,,,,50.0,900.0,200.0,,,,,10.0,,,,50.0,400.0,very_high,,,,,,,,,,,Santa Ana
811,AASCSC,Charitable Ventures,nudgealert,,4/5/2020,,,,,Santa Ana,850 n. birch street santa ana 92701,,,,,,,,,,,,,,100,high,100.0,high,100.0,,,,,,100.0,,,,,,,100.0,,high,,,,,,100.0,,,,,,,,,,100.0,,,,,,,,,,,high,,,,,,,,,,,Santa Ana
812,AASCSC,Charitable Ventures,nudgealert,,4/9/2020,,,,,Santa Ana,850 n. birch street santa ana 92701,,,,,,,,,,,,,,1000,high,100.0,high,1000.0,,,,,,100.0,,,,,,,1000.0,,high,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,Santa Ana
813,Orange County Labor Federation,Charitable Ventures,advertising,Facebook announcement Census 2020,2/28/2020,,,,,,"309 n. rampart street, orange, 92868",,,,,,,,,,,,,,3235,high,80.0,high,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,Orange
814,Latino Health Access,Charitable Ventures,media_other,Educational messages via a loudspeaker from LHA Infomovil - a van that drives to supermarkets and food distribution events and educates people via messages thru a loudspeaker.,4/10/2020,,,,,,"1010 s main st, santa ana",At Northgate Supermarket,,,,,,,,,,,,,340,very_high,100.0,very_high,300.0,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,high,,,,,,,,,,,Santa Ana
815,AASCSC,Asian American Senior Citizens Service Center,nudgealert,,4/20/2020,,,,,Santa Ana,850 n. birch street santa ana 92701,,,,,,,,,,,,,,80,very_high,100.0,very_high,80.0,,,,,10.0,70.0,,,,,,,40.0,,very_high,,,,,,20.0,,,,,,,,5.0,,,,,,10.0,10.0,,,,5.0,,very_high,,,,,,,,,,,Santa Ana
816,AASCSC,Charitable Ventures,nudgealert,,4/20/2020,,,,,Santa Ana,850 n. birch street santa ana 92701,,,,,,,,,,,,,,80,very_high,100.0,very_high,80.0,,,,,10.0,70.0,,,,,,,40.0,,very_high,,,,,,20.0,,,,,,,,5.0,,,,,,10.0,10.0,,,,5.0,,very_high,,,,,,,,,,,Santa Ana
817,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,social_media,Friends of Herald Chat Group,9/23/2020,,,,,,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,67,medium,100.0,high,,,,,,,67.0,,,,,,,,,high,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,Irvine
818,CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,"515 n. state college ave anaheim, 92805",,,,,,,,,,,,,,100,exact,100.0,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaheim
819,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,4/15/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Santa Ana
820,Access California Services,Charitable Ventures,speaking_engagement,Educational class ,3/4/2020,3/4/2020,,,,,"631 s. brookhurst st., suite #107, anaheim, ca 92804",Audience consisted of the HTC MENA/Muslim populations ranging in socio-economic backgrounds.  Also high percentage of South Asian population ,,,,ESL Class ,,,,,,,,,35,high,90.0,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,Anaheim
821,AASCSC,Charitable Ventures,nudgealert,,3/17/2020,,,,,Santa Ana,"850 n. birch street, santa ana 92701",,,,,,,,,,,,,,200,high,100.0,high,200.0,,,,,,200.0,,,,,100.0,,100.0,,high,,,,,,150.0,,,,,,,,,150.0,,,,,,,,,,,50.0,high,,,,,,,,,,,Santa Ana
822,AASCSC,Charitable Ventures,nudgealert,,5/30/2020,,,,,Santa Ana,901 w 1st st santa ana 92701,,,,,,,,,,,,,,100,very_high,100.0,very_high,100.0,,,,,,100.0,,,,,,,100.0,80.0,very_high,,,,50.0,,100.0,,,,,,,,,100.0,,,,,,,,,,,50.0,very_high,,,,,,,,,,,Santa Ana
823,AASCSC,Asian American Senior Citizens Service Center,nudgealert,,5/30/2020,,,,,Santa Ana,901 w 1st st santa ana 92701,,,,,,,,,,,,,,100,very_high,100.0,very_high,100.0,,,,,,100.0,,,,,,,100.0,80.0,very_high,,,,50.0,,100.0,,,,,,,,,100.0,,,,,,,,,,,50.0,very_high,,,,,,,,,,,Santa Ana
824,AASCSC,Asian American Senior Citizens Service Center,nudgealert,,5/31/2020,,,,,Santa Ana,901 w 1st st santa ana 92701,,,,,,,,,,,,,,100,very_high,100.0,very_high,100.0,,,,,,100.0,,,,,,,100.0,80.0,very_high,,,,50.0,,100.0,,,,,,,,,100.0,,,,,,,,,,,50.0,very_high,,,,,,,,,,,Santa Ana
825,AASCSC,Charitable Ventures,nudgealert,,5/31/2020,,,,,Santa Ana,901 w 1st st santa ana 92701,,,,,,,,,,,,,,100,very_high,100.0,very_high,100.0,,,,,,100.0,,,,,,,100.0,80.0,very_high,,,,50.0,,100.0,,,,,,,,,100.0,,,,,,,,,,,50.0,very_high,,,,,,,,,,,Santa Ana
826,AASCSC,Charitable Ventures,nudgealert,,4/1/2020,,,,,Santa Ana,"901 w 1st st, santa ana 92701",,,,,,,,,,,,,,150,high,100.0,very_high,150.0,,,,,,150.0,,,,,,,150.0,,very_high,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,Santa Ana
827,AASCSC,Charitable Ventures,nudgealert,,4/28/2020,,,,,Westminster,"9211 bolsa ave, westminster 92683",,,,,,,,,,,,,,50,very_high,100.0,very_high,40.0,,,,,,50.0,,,,,35.0,,40.0,,very_high,,,,40.0,,40.0,,,,,,,,,40.0,,,,,,,,,,,25.0,high,,,,,,,,,,,Westminster
828,OCAPICA,Charitable Ventures,canvassing,business canvassing at mall,1/20/2020,,,,,,"1025 westminster mall, westminster 92683",,,,,,,,,,,,,,250,medium,85.0,medium,80.0,,,,,30.0,60.0,5.0,,,,,,10.0,,low,,,,,,,,,,,,,,9.0,,,,,,18.0,,,,,10.0,,low,,,,,,,,,,,Westminster
829,AASCSC,Asian American Senior Citizens Service Center,nudgealert,,4/28/2020,,,,,Westminster,"9211 bolsa ave, westminster 92683",,,,,,,,,,,,,,50,very_high,100.0,very_high,40.0,,,,,,50.0,,,,,35.0,,40.0,,very_high,,,,40.0,,40.0,,,,,,,,,40.0,,,,,,,,,,,25.0,high,,,,,,,,,,,Westminster
830,KCS,Charitable Ventures,other,Media post,5/29/2020,,,,,Buena Park,"7212 orangethorpe ave. suite 8,  buena park 90621",advertising Census,,,54.0,,women,,,,,,,,54,exact,100.0,exact,,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,exact,,,,,,,,,,,Buena Park
831,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/19/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santa Ana
832,CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,424 s newhope st santa ana 92704,,,,,,,,,,,,,,100,exact,100.0,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santa Ana
833,KCS,Charitable Ventures,other,Substance use disorder prevention and intervention group outreach,6/8/2020,,,,,Buena Park,"7213 orangethorpe ave. suite 8,  buena park 90621",Substance use disorder prevention and intervention group outreach,,Asking for particiapting Census,60.0,,Korean teens and parents,,,,,,,,60,exact,100.0,exact,60.0,,,,,,60.0,,,,,,,,,exact,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,exact,,,,,,,10.0,,,,Buena Park
834,CAP OC ,Charitable Ventures,phone_banking,,7/1/2020,7/31/2020,,,,,"10841 garza ave, anaheim 92804",,,,,,,,,,,,,,50,exact,100.0,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaheim
835,KCS,Charitable Ventures,other,Substance use disorder prevention and intervention group outreach,6/26/2020,,,,,Buena Park,"7214 orangethorpe ave. suite 8,  buena park 90621",SUD group outreach for  teenagers and advertising Census on line,,Asking for particiapting Census,105.0,,Korean teenagers,,,,,,,,105,exact,100.0,exact,,,,,,,105.0,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,exact,,,,,,,,,,,Buena Park
836,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,Full Blessing Church,3/24/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,108,high,100.0,very_high,,,,,,,108.0,,,,,,,,,very_high,,,,,,108.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
837,CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,208 n. lemon fullerton 92832,,,,,,,,,,,,,,200,exact,100.0,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,high,,,,,,,,,,,Fullerton
838,CAP OC ,Charitable Ventures,collateral,,3/26/2020,,,,,,"10841 garza ave, anaheim 92804",,,,,,,,,First 5: Diaper Bank,,,,,800,exact,100.0,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,low,,,,,,,,,,,Anaheim
839,CAP OC,Charitable Ventures,collateral,,7/7/2020,,,,,,"1128 w santa ana blvd, santa ana 92703",,,,,,,,,,,,,,205,exact,100.0,high,,,,,,,,,,205.0,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santa Ana
840,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,WHS Chinese PTA,3/24/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,239,medium,100.0,very_high,,,,,,,239.0,,,,,,,,,very_high,,,,,,239.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
841,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,SBC Open Door Study,3/24/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,173,medium,100.0,very_high,,,,,,,173.0,,,,,,,,,very_high,,,,,,173.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
842,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,Family Keepers,3/24/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,82,high,100.0,very_high,,,,,,,82.0,,,,,,,,,very_high,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
843,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,Irvine Chinese Support Alliance,3/24/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,490,medium,100.0,very_high,,,,,,,490.0,,,,,,,,,very_high,,,,,,490.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
844,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,House of Grace Wechat,3/24/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,343,medium,100.0,very_high,,,,,,,343.0,,,,,,,,,very_high,,,,,,343.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
845,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,OCHC HYE PTA,3/24/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,170,medium,100.0,very_high,,,,,,,170.0,,,,,,,,,very_high,,,,,,170.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
846,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,Saddleback Church Chinese Fellowship,3/24/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,423,medium,100.0,very_high,,,,,,,423.0,,,,,,,,,very_high,,,,,,423.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
847,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,2020 Spring YIA PTA,3/24/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,45,high,100.0,very_high,,,,,,,45.0,,,,,,,,,very_high,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
848,OCAPICA,Charitable Ventures,phone_banking,census phonebanking during primaries season,3/1/2020,,,,,,"12912 brookhurst st, garden grove 92840",,,,,,,,,,,,,,4636,exact,85.0,medium,2300.0,200.0,,,,,1500.0,,,,300.0,5000.0,25.0,400.0,150.0,very_low,,,,,,,,,,,,,,20.0,,,,,,100.0,,,,,50.0,,very_low,,,,,,,,,,,Garden Grove
849,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,Mariners Church,3/24/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,379,medium,100.0,very_high,,,,,,,379.0,,,,,,,,,very_high,,,,,,379.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
850,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,Agape Fellowship,3/24/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,74,high,100.0,very_high,,,,,,,74.0,,,,,,,,,very_high,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
851,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,IUSD Chinese PTA,3/24/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,499,medium,100.0,very_high,,,,,,,499.0,,,,,,,,,very_high,,,,,,499.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
852,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,4/11/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Santa Ana
853,Orange County Labor Federation,Charitable Ventures,alert_sign_up,Text messaging outreach to member and link to fill out the Census.,5/22/2020,,,,,,"8530 stanton ave, buena park 90620",,,,,,,,,,,,,,15759,very_high,90.0,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buena Park
854,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,Friends of OCHC,3/24/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,66,high,100.0,very_high,,,,,,,66.0,,,,,,,,,very_high,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
855,VietRISE,Charitable Ventures,media_other,,4/29/2020,4/29/2020,,,309.0,,"14354 euclid st. #1m, westminster 92843",Spectrum News interview regarding VietRISEs Census outreach,,,,,,,,,,,,,309,exact,80.0,medium,,,,,,62.0,247.0,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,62.0,,,,,247.0,,medium,,,,,,,,,,,Westminster
856,OC Herald Center,Charitable Ventures,other,Irvine Chinese Support Alliance,4/15/2020,,,,,,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,490,,100.0,medium,,,,,,,490.0,,,,,,,,,high,,,,,,490.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
857,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,CA Chinese Daily Circle,3/24/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,408,medium,100.0,very_high,,,,,,,408.0,,,,,,,,,very_high,,,,,,408.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
858,CAP OC ,Charitable Ventures,collateral,,9/26/2020,,,,,,"627 e pine st, santa ana 92701",,,,,,,,,,,,,,100,exact,100.0,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santa Ana
859,OC Herald Center,Charitable Ventures,other,Chinese Baptist Church of Orange County Spirtual Foundation Class,3/26/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,33,very_high,100.0,very_high,,,,,,,33.0,,,,,,,,,very_high,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
860,OC Herald Center,Charitable Ventures,other,Laguna Altura,3/26/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,180,medium,100.0,very_high,,,,,,,180.0,,,,,,,,,very_high,,,,,,180.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
861,AASCSC,Charitable Ventures,social_media,,5/30/2020,,,,,,orange,,,,,,,,,,,,,,1170,very_high,100.0,medium,800.0,,,,,700.0,200.0,,,,,100.0,,,,medium,,,,,,100.0,,,,,,,,,,,,,,500.0,,,,,,,medium,,,,,,,,,,,Orange
862,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/11/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90.0,very_high,2000.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Santa Ana
863,OC Herald Center,Charitable Ventures,other,Chinese Baptist Church of Orange County Seekers Class Group,3/26/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,46,high,100.0,very_high,,,,,,,46.0,,,,,,,,,very_high,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
864,OC Herald Center,Charitable Ventures,other,Chinese Baptist Church of Orange County Joy Sisters Group,3/26/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,63,high,100.0,very_high,,,,,,,63.0,,,,,,,,,very_high,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
865,OC Herald Center,Charitable Ventures,other,Chinese Baptiest Church of Orange County New Song Small Group,3/27/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,27,very_high,100.0,very_high,,,,,,,20.0,,,,,,,,,very_high,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
866,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,Irvine Chinese Support Alliance,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,490,medium,100.0,very_high,,,,,,,490.0,,,,,,,,,very_high,,,,,,490.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
867,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,OCHC HYE PTA,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,170,high,100.0,very_high,,,,,,,170.0,,,,,,,,,very_high,,,,,,170.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
868,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,Saddleback Church Chinese Fellowship,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,423,medium,100.0,very_high,,,,,,,423.0,,,,,,,,,very_high,,,,,,423.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
869,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,House of Grace Wechat,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,343,medium,100.0,very_high,,,,,,,343.0,,,,,,,,,very_high,,,,,,343.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
870,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,IUSD Chinese PTA,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,499,medium,100.0,very_high,,,,,,,499.0,,,,,,,,,very_high,,,,,,499.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
871,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,CA Chinese Daily Circle,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,408,medium,100.0,very_high,,,,,,,408.0,,,,,,,,,very_high,,,,,,408.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
872,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/6/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Santa Ana
873,CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,1771 w. katella ave anaheim 92804,,,,,,,,,,,,,,100,exact,100.0,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaheim
874,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,SBC Open Door Study,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,173,high,100.0,very_high,,,,,,,173.0,,,,,,,,,very_high,,,,,,173.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
875,OC Herald Center,Charitable Ventures,other,CCEC Caring Group,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,97,high,100.0,very_high,,,,,,,97.0,,,,,,,,,very_high,,,,,,97.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
876,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/17/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
877,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,WHS Chinese PTA,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,239,medium,100.0,very_high,,,,,,,239.0,,,,,,,,,very_high,,,,,,239.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
878,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,Friends of OCHC,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,66,high,100.0,very_high,,,,,,,66.0,,,,,,,,,very_high,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
879,CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,1001 e. lincoln ave. orange 92865,,,,,,,,,,,,,,5500,exact,100.0,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,5500.0,,,,,,,high,,,,,,,,,,,Orange
880,OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,2020 Spring YIA PTA,3/31/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,45,high,100.0,very_high,,,,,,,45.0,,,,,,,,,very_high,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
881,OC Herald Center,Charitable Ventures,other,Mariners Church,4/15/2020,,,,,,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,379,,100.0,medium,,,,,,,379.0,,,,,,,,,high,,,,,,379.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
882,OC Herald Center,Charitable Ventures,other,2020 Spring YIA PTA,4/15/2020,,,,,,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,45,,100.0,very_high,,,,,,,45.0,,,,,,,,,very_high,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,Irvine
